PCS,Baseline,Time,Power,Cycle
ElectricMPLow,FALSE,1/1/2000 0:00:00,0,NA
ElectricMPLow,FALSE,1/1/2000 0:00:05,0,NA
ElectricMPLow,FALSE,1/1/2000 0:00:10,0,NA
ElectricMPLow,FALSE,1/1/2000 0:00:15,0,NA
ElectricMPLow,FALSE,1/1/2000 0:00:20,227,1
ElectricMPLow,FALSE,1/1/2000 0:00:25,2,1
ElectricMPLow,FALSE,1/1/2000 0:00:30,0,1
ElectricMPLow,FALSE,1/1/2000 0:00:35,0,1
ElectricMPLow,FALSE,1/1/2000 0:00:40,0,1
ElectricMPLow,FALSE,1/1/2000 0:00:45,0,1
ElectricMPLow,FALSE,1/1/2000 0:00:50,0,1
ElectricMPLow,FALSE,1/1/2000 0:00:55,0,1
ElectricMPLow,FALSE,1/1/2000 0:01:00,0,1
ElectricMPLow,FALSE,1/1/2000 0:01:05,0,1
ElectricMPLow,FALSE,1/1/2000 0:01:10,0,1
ElectricMPLow,FALSE,1/1/2000 0:01:15,0,1
ElectricMPLow,FALSE,1/1/2000 0:01:20,0,1
ElectricMPLow,FALSE,1/1/2000 0:01:25,0,1
ElectricMPLow,FALSE,1/1/2000 0:01:30,0,1
ElectricMPLow,FALSE,1/1/2000 0:01:35,0,1
ElectricMPLow,FALSE,1/1/2000 0:01:40,228,2
ElectricMPLow,FALSE,1/1/2000 0:01:45,2,2
ElectricMPLow,FALSE,1/1/2000 0:01:50,0,2
ElectricMPLow,FALSE,1/1/2000 0:01:55,0,2
ElectricMPLow,FALSE,1/1/2000 0:02:00,0,2
ElectricMPLow,FALSE,1/1/2000 0:02:05,0,2
ElectricMPLow,FALSE,1/1/2000 0:02:10,0,2
ElectricMPLow,FALSE,1/1/2000 0:02:15,0,2
ElectricMPLow,FALSE,1/1/2000 0:02:20,0,2
ElectricMPLow,FALSE,1/1/2000 0:02:25,0,2
ElectricMPLow,FALSE,1/1/2000 0:02:30,0,2
ElectricMPLow,FALSE,1/1/2000 0:02:35,0.2,2
ElectricMPLow,FALSE,1/1/2000 0:02:40,0,2
ElectricMPLow,FALSE,1/1/2000 0:02:45,0,2
ElectricMPLow,FALSE,1/1/2000 0:02:50,0,2
ElectricMPLow,FALSE,1/1/2000 0:02:55,0,2
ElectricMPLow,FALSE,1/1/2000 0:03:00,222,3
ElectricMPLow,FALSE,1/1/2000 0:03:05,2,3
ElectricMPLow,FALSE,1/1/2000 0:03:10,0,3
ElectricMPLow,FALSE,1/1/2000 0:03:15,0,3
ElectricMPLow,FALSE,1/1/2000 0:03:20,0,3
ElectricMPLow,FALSE,1/1/2000 0:03:25,0,3
ElectricMPLow,FALSE,1/1/2000 0:03:30,0,3
ElectricMPLow,FALSE,1/1/2000 0:03:35,0,3
ElectricMPLow,FALSE,1/1/2000 0:03:40,0,3
ElectricMPLow,FALSE,1/1/2000 0:03:45,0,3
ElectricMPLow,FALSE,1/1/2000 0:03:50,0,3
ElectricMPLow,FALSE,1/1/2000 0:03:55,0,3
ElectricMPLow,FALSE,1/1/2000 0:04:00,0,3
ElectricMPLow,FALSE,1/1/2000 0:04:05,0,3
ElectricMPLow,FALSE,1/1/2000 0:04:10,0,3
ElectricMPLow,FALSE,1/1/2000 0:04:15,0,3
ElectricMPLow,FALSE,1/1/2000 0:04:20,222,4
ElectricMPLow,FALSE,1/1/2000 0:04:25,2,4
ElectricMPLow,FALSE,1/1/2000 0:04:30,0,4
ElectricMPLow,FALSE,1/1/2000 0:04:35,0,4
ElectricMPLow,FALSE,1/1/2000 0:04:40,0,4
ElectricMPLow,FALSE,1/1/2000 0:04:45,0,4
ElectricMPLow,FALSE,1/1/2000 0:04:50,0,4
ElectricMPLow,FALSE,1/1/2000 0:04:55,0,4
ElectricMPLow,FALSE,1/1/2000 0:05:00,0,4
ElectricMPLow,FALSE,1/1/2000 0:05:05,0,4
ElectricMPLow,FALSE,1/1/2000 0:05:10,0,4
ElectricMPLow,FALSE,1/1/2000 0:05:15,0,4
ElectricMPLow,FALSE,1/1/2000 0:05:20,0,4
ElectricMPLow,FALSE,1/1/2000 0:05:25,0,4
ElectricMPLow,FALSE,1/1/2000 0:05:30,0,4
ElectricMPLow,FALSE,1/1/2000 0:05:35,0,4
ElectricMPLow,FALSE,1/1/2000 0:05:40,224,5
ElectricMPLow,FALSE,1/1/2000 0:05:45,2,5
ElectricMPLow,FALSE,1/1/2000 0:05:50,0,5
ElectricMPLow,FALSE,1/1/2000 0:05:55,0,5
ElectricMPLow,FALSE,1/1/2000 0:06:00,0,5
ElectricMPLow,FALSE,1/1/2000 0:06:05,0,5
ElectricMPLow,FALSE,1/1/2000 0:06:10,0,5
ElectricMPLow,FALSE,1/1/2000 0:06:15,0,5
ElectricMPLow,FALSE,1/1/2000 0:06:20,0,5
ElectricMPLow,FALSE,1/1/2000 0:06:25,0,5
ElectricMPLow,FALSE,1/1/2000 0:06:30,0,5
ElectricMPLow,FALSE,1/1/2000 0:06:35,0,5
ElectricMPLow,FALSE,1/1/2000 0:06:40,0,5
ElectricMPLow,FALSE,1/1/2000 0:06:45,0,5
ElectricMPLow,FALSE,1/1/2000 0:06:50,0,5
ElectricMPLow,FALSE,1/1/2000 0:06:55,0,5
ElectricMPLow,FALSE,1/1/2000 0:07:00,224,6
ElectricMPLow,FALSE,1/1/2000 0:07:05,2,6
ElectricMPLow,FALSE,1/1/2000 0:07:10,0,6
ElectricMPLow,FALSE,1/1/2000 0:07:15,0,6
ElectricMPLow,FALSE,1/1/2000 0:07:20,0,6
ElectricMPLow,FALSE,1/1/2000 0:07:25,0,6
